Factor,FactorSymbol,Level,R2Gate,PDIProbability,CandidateMultiplier,EliteArchiveSize,Dimension,Run,Seed,FinalFE,FinalObjective,RuntimeSeconds,Status
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,1,1314730,1000,1.60098866094034,181.0733775,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,2,1314731,1000,1.54810320164567,180.2579003,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,3,1314732,1000,2.16723221418708,180.4673917,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,4,1314733,1000,2.2107489763035,179.1449523,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,5,1314734,1000,1.53605628709208,179.5096928,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,6,1314735,1000,1.58398292993497,188.8543918,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,7,1314736,1000,1.72710330731233,182.8494204,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,8,1314737,1000,2.06231402063099,182.0123204,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,9,1314738,1000,1.39302129125132,182.1878777,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,500,10,1314739,1000,1.95230938503899,186.9394167,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,1,844730,1000,0.0311160773056486,20.8379508,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,2,844731,1000,0.00634381537597162,21.3227823,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,3,844732,1000,0.00558229670547983,21.551355,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,4,844733,1000,0.0113620618363156,21.3712521,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,5,844734,1000,0.000256292705927419,21.3841,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,6,844735,1000,0.0127013834289883,20.9797963,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,7,844736,1000,0.00293170347636562,20.5146112,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,8,844737,1000,0.024525735252688,20.8107246,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,9,844738,1000,0.00261629949276598,23.281717,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,30,10,844739,1000,0.0396746816086492,21.0476859,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,1,1314730,1000,2.29499683225298,183.0527008,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,2,1314731,1000,1.49077678853679,181.6486241,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,3,1314732,1000,1.83546340859241,180.8742769,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,4,1314733,1000,1.62079736724116,179.6527552,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,5,1314734,1000,2.66357349619968,180.0152277,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,6,1314735,1000,1.74560863774413,180.2343204,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,7,1314736,1000,2.86242481323467,182.4476163,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,8,1314737,1000,2.77586529395551,181.3686403,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,9,1314738,1000,2.2482703102823,183.0823436,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.1,0.1,0.1,20,50,500,10,1314739,1000,1.15352876175495,187.305295,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,1,844730,1000,0.0127638686974662,20.7646939,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,2,844731,1000,0.00969009008445532,20.7591139,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,3,844732,1000,0.00104146791752924,20.8480082,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,4,844733,1000,0.0123934662321078,20.8129871,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,5,844734,1000,0.000184963597242849,21.1655482,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,6,844735,1000,0.0234173582563415,21.2831551,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,7,844736,1000,0.00673051941084513,22.7102965,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,8,844737,1000,0.0341453987946556,21.3879242,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,9,844738,1000,0.000639711084850947,21.473697,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,30,10,844739,1000,0.0189982281451692,22.1777069,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,1,1314730,1000,2.38825358974579,181.6602796,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,2,1314731,1000,1.34308375547546,180.0064274,completed
PDIProbability,$p_{\mathrm{PDI}}$,0.2,0.1,0.2,20,50,500,3,1314732,1000,3.11107414672438,180.9366074,completed
